priority_rank,date_key,store_name,sku_id,sku_name,category,issue_type,risk_score,recommended_action,recommended_quantity,hours_to_stockout,expected_impact,source_store,destination_store,reason
907,20260629,MUM_DS_06,73,SNAC_NAMK_13,Snacks,Inter-Store Misallocation / Impending Shortage,22,Redistribute Stock,144,32.8,"Avoids $13,266.72 lost sales; lifts DoC from 1.8 to 3.4d",MUM_DS_04,MUM_DS_06,Destination projected to breach safety stock within 32.8h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 8.1d). Distance is 3.2km within configured limit.
908,20260629,MUM_DS_06,104,PACK_BREA_14,Packaged Foods,Inter-Store Misallocation / Impending Shortage,22,Redistribute Stock,60,32.8,"Avoids $5,898.00 lost sales; lifts DoC from 1.8 to 3.2d",MUM_DS_10,MUM_DS_06,Destination projected to breach safety stock within 32.8h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.8d). Distance is 3.0km within configured limit.
909,20260629,MUM_DS_06,133,FRUI_DAIL_13,Fruits & Vegetables,Inter-Store Misallocation / Impending Shortage,22,Redistribute Stock,120,32.8,"Avoids $10,698.00 lost sales; lifts DoC from 1.8 to 3.5d",MUM_DS_10,MUM_DS_06,Destination projected to breach safety stock within 32.8h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.3d). Distance is 3.0km within configured limit.
910,20260629,HYD_DS_05,270,BABY_BABY_30,Baby Care,Inter-Store Misallocation / Impending Shortage,22,Redistribute Stock,20,32.8,"Avoids $11,862.40 lost sales; lifts DoC from 1.8 to 3.3d",HYD_DS_06,HYD_DS_05,Destination projected to breach safety stock within 32.8h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.2d). Distance is 6.0km within configured limit.
911,20260629,HYD_DS_09,55,BEVE_WATE_25,Beverages,Inter-Store Misallocation / Impending Shortage,22,Redistribute Stock,120,32.8,"Avoids $9,189.60 lost sales; lifts DoC from 1.8 to 3.4d",HYD_DS_08,HYD_DS_09,Destination projected to breach safety stock within 32.8h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 6.3d). Distance is 1.6km within configured limit.
912,20260629,MUM_DS_06,73,SNAC_NAMK_13,Snacks,Stock Below Reorder Point,22,Scheduled Replenishment,552,32.8,Protects $0.00 sales exposure; targets 705 units,Regional Distribution Center,MUM_DS_06,Projected inventory (167) breached ROP (337). Target: 705.
913,20260629,MUM_DS_06,104,PACK_BREA_14,Packaged Foods,Stock Below Reorder Point,22,Scheduled Replenishment,240,32.8,Protects $0.00 sales exposure; targets 315 units,Regional Distribution Center,MUM_DS_06,Projected inventory (77) breached ROP (83). Target: 315.
914,20260629,MUM_DS_06,133,FRUI_DAIL_13,Fruits & Vegetables,Stock Below Reorder Point,22,Scheduled Replenishment,420,32.8,Protects $0.00 sales exposure; targets 551 units,Regional Distribution Center,MUM_DS_06,Projected inventory (133) breached ROP (186). Target: 551.
915,20260629,HYD_DS_09,55,BEVE_WATE_25,Beverages,Stock Below Reorder Point,22,Scheduled Replenishment,432,32.8,Protects $0.00 sales exposure; targets 556 units,Regional Distribution Center,HYD_DS_09,Projected inventory (135) breached ROP (147). Target: 556.
916,20260629,DEL_DS_03,63,SNAC_NAMK_03,Snacks,Stock Below Reorder Point,22,Scheduled Replenishment,272,44.6,Protects $0.00 sales exposure; targets 399 units,Regional Distribution Center,DEL_DS_03,Projected inventory (128) breached ROP (193). Target: 399.
917,20260629,DEL_DS_06,123,FRUI_DAIL_03,Fruits & Vegetables,Stock Below Reorder Point,22,Scheduled Replenishment,228,44.6,Protects $0.00 sales exposure; targets 328 units,Regional Distribution Center,DEL_DS_06,Projected inventory (106) breached ROP (157). Target: 328.
918,20260629,MUM_DS_08,61,SNAC_CHIP_01,Snacks,Stock Below Reorder Point,22,Scheduled Replenishment,360,44.8,Protects $0.00 sales exposure; targets 501 units,Regional Distribution Center,MUM_DS_08,Projected inventory (163) breached ROP (239). Target: 501.
919,20260629,BEN_DS_09,35,BEVE_WATE_05,Beverages,Stock Below Reorder Point,22,Scheduled Replenishment,324,45.2,Protects $0.00 sales exposure; targets 469 units,Regional Distribution Center,BEN_DS_09,Projected inventory (153) breached ROP (225). Target: 469.
920,20260629,DEL_DS_04,285,PET _PET _15,Pet Care,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,24,23.6,"Avoids $11,085.80 lost sales; lifts DoC from 1.3 to 3.5d",DEL_DS_06,DEL_DS_04,Destination projected to breach safety stock within 23.6h (DoC: 1.3d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.6d). Distance is 7.3km within configured limit.
921,20260629,BEN_DS_04,189,PERS_SKIN_09,Personal Care,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,18,23.8,"Avoids $2,242.44 lost sales; lifts DoC from 1.3 to 3.0d",BEN_DS_10,BEN_DS_04,Destination projected to breach safety stock within 23.8h (DoC: 1.3d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.2d). Distance is 1.1km within configured limit.
922,20260629,MUM_DS_02,230,HOUS_REPE_20,Household,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,8,23.8,Avoids $632.32 lost sales; lifts DoC from 1.3 to 2.8d,MUM_DS_03,MUM_DS_02,Destination projected to breach safety stock within 23.8h (DoC: 1.3d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.8d). Distance is 5.8km within configured limit.
923,20260629,BEN_DS_04,189,PERS_SKIN_09,Personal Care,Stock Below Reorder Point,21,Scheduled Replenishment,66,23.8,"Protects $1,316.81 sales exposure; targets 80 units",Regional Distribution Center,BEN_DS_04,Projected inventory (14) breached ROP (28). Target: 80.
924,20260629,MUM_DS_02,230,HOUS_REPE_20,Household,Stock Below Reorder Point,21,Scheduled Replenishment,40,23.8,Protects $418.12 sales exposure; targets 41 units,Regional Distribution Center,MUM_DS_02,Projected inventory (7) breached ROP (9). Target: 41.
925,20260629,BEN_DS_07,191,PERS_SOAP_11,Personal Care,Stock Below Reorder Point,21,Scheduled Replenishment,96,24.7,Protects $0.00 sales exposure; targets 94 units,Regional Distribution Center,BEN_DS_07,Projected inventory (17) breached ROP (19). Target: 94.
926,20260629,BEN_DS_04,206,PERS_SOAP_26,Personal Care,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,8,32.4,Avoids $795.36 lost sales; lifts DoC from 1.8 to 3.4d,BEN_DS_01,BEN_DS_04,Destination projected to breach safety stock within 32.4h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.3d). Distance is 1.3km within configured limit.
927,20260629,BEN_DS_04,206,PERS_SOAP_26,Personal Care,Stock Below Reorder Point,21,Scheduled Replenishment,32,32.4,Protects $0.00 sales exposure; targets 40 units,Regional Distribution Center,BEN_DS_04,Projected inventory (9) breached ROP (15). Target: 40.
928,20260629,DEL_DS_02,251,BABY_BABY_11,Baby Care,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,52,32.9,"Avoids $8,717.28 lost sales; lifts DoC from 1.8 to 3.5d",DEL_DS_01,DEL_DS_02,Destination projected to breach safety stock within 32.9h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.9d). Distance is 1.2km within configured limit.
929,20260629,DEL_DS_08,244,BABY_BABY_04,Baby Care,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,40,32.9,"Avoids $4,276.00 lost sales; lifts DoC from 1.8 to 3.5d",DEL_DS_01,DEL_DS_08,Destination projected to breach safety stock within 32.9h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.1d). Distance is 1.2km within configured limit.
930,20260629,MUM_DS_03,47,BEVE_COLD_17,Beverages,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,96,32.9,"Avoids $10,285.44 lost sales; lifts DoC from 1.8 to 3.3d",MUM_DS_04,MUM_DS_03,Destination projected to breach safety stock within 32.9h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.8d). Distance is 0.9km within configured limit.
931,20260629,MUM_DS_08,43,BEVE_TEA _13,Beverages,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,112,32.9,"Avoids $4,819.36 lost sales; lifts DoC from 1.8 to 3.5d",MUM_DS_04,MUM_DS_08,Destination projected to breach safety stock within 32.9h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.4d). Distance is 10.4km within configured limit.
932,20260629,MUM_DS_08,51,BEVE_JUIC_21,Beverages,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,68,32.9,"Avoids $5,610.00 lost sales; lifts DoC from 1.8 to 3.5d",MUM_DS_07,MUM_DS_08,Destination projected to breach safety stock within 32.9h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.6d). Distance is 1.7km within configured limit.
933,20260629,MUM_DS_03,47,BEVE_COLD_17,Beverages,Stock Below Reorder Point,21,Scheduled Replenishment,384,32.9,Protects $0.00 sales exposure; targets 480 units,Regional Distribution Center,MUM_DS_03,Projected inventory (116) breached ROP (162). Target: 480.
934,20260629,MUM_DS_08,51,BEVE_JUIC_21,Beverages,Stock Below Reorder Point,21,Scheduled Replenishment,240,32.9,Protects $0.00 sales exposure; targets 315 units,Regional Distribution Center,MUM_DS_08,Projected inventory (76) breached ROP (107). Target: 315.
935,20260629,BEN_DS_04,103,PACK_SAUC_13,Packaged Foods,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,32,33.1,"Avoids $4,129.92 lost sales; lifts DoC from 1.8 to 3.5d",BEN_DS_06,BEN_DS_04,Destination projected to breach safety stock within 33.1h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.5d). Distance is 4.2km within configured limit.
936,20260629,BEN_DS_05,23,DAIR_BUTT_23,Dairy,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,128,33.1,"Avoids $7,312.64 lost sales; lifts DoC from 1.8 to 3.5d",BEN_DS_07,BEN_DS_05,Destination projected to breach safety stock within 33.1h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 5.7d). Distance is 3.8km within configured limit.
937,20260629,BEN_DS_08,93,PACK_SAUC_03,Packaged Foods,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,24,33.1,"Avoids $1,503.84 lost sales; lifts DoC from 1.8 to 2.9d",BEN_DS_06,BEN_DS_08,Destination projected to breach safety stock within 33.1h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.1d). Distance is 2.9km within configured limit.
938,20260629,DEL_DS_06,140,FRUI_CUT _20,Fruits & Vegetables,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,40,33.1,"Avoids $2,183.60 lost sales; lifts DoC from 1.8 to 2.8d",DEL_DS_05,DEL_DS_06,Destination projected to breach safety stock within 33.1h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.1d). Distance is 4.7km within configured limit.
939,20260629,DEL_DS_07,93,PACK_SAUC_03,Packaged Foods,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,24,33.1,"Avoids $1,503.84 lost sales; lifts DoC from 1.8 to 2.8d",DEL_DS_08,DEL_DS_07,Destination projected to breach safety stock within 33.1h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.1d). Distance is 6.0km within configured limit.
940,20260629,DEL_DS_08,58,BEVE_TEA _28,Beverages,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,96,33.1,"Avoids $9,590.40 lost sales; lifts DoC from 1.8 to 3.5d",DEL_DS_02,DEL_DS_08,Destination projected to breach safety stock within 33.1h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 8.1d). Distance is 0.7km within configured limit.
941,20260629,MUM_DS_03,27,DAIR_CURD_27,Dairy,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,112,33.1,"Avoids $11,572.96 lost sales; lifts DoC from 1.8 to 3.5d",MUM_DS_04,MUM_DS_03,Destination projected to breach safety stock within 33.1h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.0d). Distance is 0.9km within configured limit.
942,20260629,MUM_DS_08,18,DAIR_BUTT_18,Dairy,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,54,33.1,"Avoids $10,974.96 lost sales; lifts DoC from 1.8 to 3.4d",MUM_DS_07,MUM_DS_08,Destination projected to breach safety stock within 33.1h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 7.5d). Distance is 1.7km within configured limit.
943,20260629,HYD_DS_09,100,PACK_READ_10,Packaged Foods,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,64,33.1,"Avoids $6,983.04 lost sales; lifts DoC from 1.8 to 3.5d",HYD_DS_08,HYD_DS_09,Destination projected to breach safety stock within 33.1h (DoC: 1.8d). Source retains surplus stock above protection threshold (Post-transfer DoC: 6.2d). Distance is 1.6km within configured limit.
944,20260629,BEN_DS_05,23,DAIR_BUTT_23,Dairy,Stock Below Reorder Point,21,Scheduled Replenishment,440,33.1,Protects $0.00 sales exposure; targets 579 units,Regional Distribution Center,BEN_DS_05,Projected inventory (142) breached ROP (155). Target: 579.
945,20260629,DEL_DS_08,58,BEVE_TEA _28,Beverages,Stock Below Reorder Point,21,Scheduled Replenishment,360,33.1,Protects $0.00 sales exposure; targets 450 units,Regional Distribution Center,DEL_DS_08,Projected inventory (109) breached ROP (153). Target: 450.
946,20260629,MUM_DS_03,27,DAIR_CURD_27,Dairy,Stock Below Reorder Point,21,Scheduled Replenishment,396,33.1,Protects $0.00 sales exposure; targets 518 units,Regional Distribution Center,MUM_DS_03,Projected inventory (124) breached ROP (248). Target: 518.
947,20260629,MUM_DS_08,18,DAIR_BUTT_18,Dairy,Stock Below Reorder Point,21,Scheduled Replenishment,204,33.1,Protects $0.00 sales exposure; targets 264 units,Regional Distribution Center,MUM_DS_08,Projected inventory (65) breached ROP (70). Target: 264.
948,20260629,HYD_DS_09,100,PACK_READ_10,Packaged Foods,Stock Below Reorder Point,21,Scheduled Replenishment,232,33.1,Protects $0.00 sales exposure; targets 300 units,Regional Distribution Center,HYD_DS_09,Projected inventory (72) breached ROP (144). Target: 300.
949,20260629,BEN_DS_01,140,FRUI_CUT _20,Fruits & Vegetables,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,72,33.3,"Avoids $3,930.48 lost sales; lifts DoC from 1.9 to 3.5d",BEN_DS_06,BEN_DS_01,Destination projected to breach safety stock within 33.3h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 6.2d). Distance is 4.2km within configured limit.
950,20260629,BEN_DS_03,74,SNAC_CHOC_14,Snacks,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,56,33.3,"Avoids $3,757.60 lost sales; lifts DoC from 1.9 to 3.1d",BEN_DS_07,BEN_DS_03,Destination projected to breach safety stock within 33.3h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.2d). Distance is 7.2km within configured limit.
951,20260629,BEN_DS_10,254,BABY_BABY_14,Baby Care,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,24,33.3,"Avoids $4,263.84 lost sales; lifts DoC from 1.9 to 3.0d",BEN_DS_04,BEN_DS_10,Destination projected to breach safety stock within 33.3h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.4d). Distance is 1.1km within configured limit.
952,20260629,DEL_DS_06,114,PACK_BREA_24,Packaged Foods,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,48,33.3,"Avoids $2,813.76 lost sales; lifts DoC from 1.9 to 3.3d",DEL_DS_01,DEL_DS_06,Destination projected to breach safety stock within 33.3h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.5d). Distance is 6.3km within configured limit.
953,20260629,DEL_DS_06,151,STAP_ATTA_01,Staples,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,60,33.3,"Avoids $24,083.40 lost sales; lifts DoC from 1.9 to 3.4d",DEL_DS_05,DEL_DS_06,Destination projected to breach safety stock within 33.3h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.4d). Distance is 4.7km within configured limit.
954,20260629,MUM_DS_02,119,PACK_BREA_29,Packaged Foods,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,48,33.3,"Avoids $5,640.00 lost sales; lifts DoC from 1.9 to 3.5d",MUM_DS_03,MUM_DS_02,Destination projected to breach safety stock within 33.3h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 6.8d). Distance is 5.8km within configured limit.
955,20260629,MUM_DS_03,53,BEVE_TEA _23,Beverages,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,144,33.3,"Avoids $5,241.60 lost sales; lifts DoC from 1.9 to 3.5d",MUM_DS_07,MUM_DS_03,Destination projected to breach safety stock within 33.3h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.4d). Distance is 11.6km within configured limit.
956,20260629,MUM_DS_03,73,SNAC_NAMK_13,Snacks,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,144,33.3,"Avoids $13,266.72 lost sales; lifts DoC from 1.9 to 3.4d",MUM_DS_04,MUM_DS_03,Destination projected to breach safety stock within 33.3h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 5.9d). Distance is 0.9km within configured limit.
957,20260629,MUM_DS_06,242,BABY_BABY_02,Baby Care,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,60,33.3,"Avoids $31,888.20 lost sales; lifts DoC from 1.9 to 3.5d",MUM_DS_03,MUM_DS_06,Destination projected to breach safety stock within 33.3h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.1d). Distance is 3.8km within configured limit.
958,20260629,MUM_DS_08,76,SNAC_CHIP_16,Snacks,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,72,33.3,"Avoids $4,651.92 lost sales; lifts DoC from 1.9 to 3.4d",MUM_DS_01,MUM_DS_08,Destination projected to breach safety stock within 33.3h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.2d). Distance is 8.1km within configured limit.
959,20260629,MUM_DS_09,117,PACK_PAST_27,Packaged Foods,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,60,33.3,"Avoids $9,175.20 lost sales; lifts DoC from 1.9 to 3.4d",MUM_DS_05,MUM_DS_09,Destination projected to breach safety stock within 33.3h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.5d). Distance is 4.5km within configured limit.
960,20260629,BEN_DS_10,254,BABY_BABY_14,Baby Care,Stock Below Reorder Point,21,Scheduled Replenishment,120,33.3,Protects $0.00 sales exposure; targets 155 units,Regional Distribution Center,BEN_DS_10,Projected inventory (38) breached ROP (53). Target: 155.
961,20260629,DEL_DS_06,114,PACK_BREA_24,Packaged Foods,Stock Below Reorder Point,21,Scheduled Replenishment,192,33.3,Protects $0.00 sales exposure; targets 246 units,Regional Distribution Center,DEL_DS_06,Projected inventory (60) breached ROP (84). Target: 246.
962,20260629,MUM_DS_02,119,PACK_BREA_29,Packaged Foods,Stock Below Reorder Point,21,Scheduled Replenishment,180,33.3,Protects $0.00 sales exposure; targets 231 units,Regional Distribution Center,MUM_DS_02,Projected inventory (55) breached ROP (112). Target: 231.
963,20260629,MUM_DS_03,73,SNAC_NAMK_13,Snacks,Stock Below Reorder Point,21,Scheduled Replenishment,552,33.3,Protects $0.00 sales exposure; targets 703 units,Regional Distribution Center,MUM_DS_03,Projected inventory (170) breached ROP (335). Target: 703.
964,20260629,MUM_DS_09,117,PACK_PAST_27,Packaged Foods,Stock Below Reorder Point,21,Scheduled Replenishment,228,33.3,Protects $0.00 sales exposure; targets 300 units,Regional Distribution Center,MUM_DS_09,Projected inventory (74) breached ROP (80). Target: 300.
965,20260629,BEN_DS_04,56,BEVE_JUIC_26,Beverages,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,120,33.5,"Avoids $4,468.80 lost sales; lifts DoC from 1.9 to 3.5d",BEN_DS_05,BEN_DS_04,Destination projected to breach safety stock within 33.5h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 2.9d). Distance is 4.9km within configured limit.
966,20260629,DEL_DS_08,82,SNAC_BISC_22,Snacks,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,72,33.5,"Avoids $11,805.12 lost sales; lifts DoC from 1.9 to 3.2d",DEL_DS_02,DEL_DS_08,Destination projected to breach safety stock within 33.5h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.2d). Distance is 0.7km within configured limit.
967,20260629,HYD_DS_06,269,BABY_DIAP_29,Baby Care,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,12,33.5,"Avoids $7,026.60 lost sales; lifts DoC from 1.9 to 2.9d",HYD_DS_03,HYD_DS_06,Destination projected to breach safety stock within 33.5h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.2d). Distance is 4.4km within configured limit.
968,20260629,DEL_DS_09,91,PACK_NOOD_01,Packaged Foods,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,24,33.7,"Avoids $5,764.32 lost sales; lifts DoC from 1.9 to 3.2d",DEL_DS_03,DEL_DS_09,Destination projected to breach safety stock within 33.7h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 5.2d). Distance is 1.7km within configured limit.
969,20260629,DEL_DS_09,244,BABY_BABY_04,Baby Care,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,48,33.7,"Avoids $5,131.20 lost sales; lifts DoC from 1.9 to 3.5d",DEL_DS_03,DEL_DS_09,Destination projected to breach safety stock within 33.7h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 9.1d). Distance is 1.7km within configured limit.
970,20260629,MUM_DS_05,265,BABY_DIAP_25,Baby Care,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,48,33.7,"Avoids $7,838.40 lost sales; lifts DoC from 1.9 to 3.1d",MUM_DS_03,MUM_DS_05,Destination projected to breach safety stock within 33.7h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 2.9d). Distance is 12.0km within configured limit.
971,20260629,MUM_DS_09,157,STAP_RICE_07,Staples,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,36,33.7,"Avoids $5,157.00 lost sales; lifts DoC from 1.9 to 3.3d",MUM_DS_05,MUM_DS_09,Destination projected to breach safety stock within 33.7h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.5d). Distance is 4.5km within configured limit.
972,20260629,HYD_DS_09,111,PACK_NOOD_21,Packaged Foods,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,40,33.7,"Avoids $5,936.00 lost sales; lifts DoC from 1.9 to 3.3d",HYD_DS_08,HYD_DS_09,Destination projected to breach safety stock within 33.7h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.1d). Distance is 1.6km within configured limit.
973,20260629,BEN_DS_02,242,BABY_BABY_02,Baby Care,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,42,33.8,"Avoids $22,321.74 lost sales; lifts DoC from 1.9 to 3.1d",BEN_DS_08,BEN_DS_02,Destination projected to breach safety stock within 33.8h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.0d). Distance is 6.7km within configured limit.
974,20260629,MUM_DS_08,20,DAIR_PANE_20,Dairy,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,102,33.8,"Avoids $14,232.06 lost sales; lifts DoC from 1.9 to 3.5d",MUM_DS_05,MUM_DS_08,Destination projected to breach safety stock within 33.8h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.3d). Distance is 16.6km within configured limit.
975,20260629,BEN_DS_02,117,PACK_PAST_27,Packaged Foods,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,48,34.0,"Avoids $7,340.16 lost sales; lifts DoC from 1.9 to 3.3d",BEN_DS_03,BEN_DS_02,Destination projected to breach safety stock within 34.0h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.5d). Distance is 4.8km within configured limit.
976,20260629,DEL_DS_02,103,PACK_SAUC_13,Packaged Foods,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,32,34.0,"Avoids $4,129.92 lost sales; lifts DoC from 1.9 to 3.3d",DEL_DS_08,DEL_DS_02,Destination projected to breach safety stock within 34.0h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 4.1d). Distance is 0.7km within configured limit.
977,20260629,MUM_DS_06,134,FRUI_SEAS_14,Fruits & Vegetables,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,96,34.0,"Avoids $3,615.36 lost sales; lifts DoC from 1.9 to 3.5d",MUM_DS_10,MUM_DS_06,Destination projected to breach safety stock within 34.0h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.0d). Distance is 3.0km within configured limit.
978,20260629,MUM_DS_06,248,BABY_BABY_08,Baby Care,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,42,34.0,"Avoids $19,977.30 lost sales; lifts DoC from 1.9 to 3.5d",MUM_DS_10,MUM_DS_06,Destination projected to breach safety stock within 34.0h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.2d). Distance is 3.0km within configured limit.
979,20260629,MUM_DS_08,53,BEVE_TEA _23,Beverages,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,32,34.0,"Avoids $1,164.80 lost sales; lifts DoC from 1.9 to 2.3d",MUM_DS_07,MUM_DS_08,Destination projected to breach safety stock within 34.0h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 2.9d). Distance is 1.7km within configured limit.
980,20260629,HYD_DS_10,257,BABY_DIAP_17,Baby Care,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,54,34.0,"Avoids $18,300.60 lost sales; lifts DoC from 1.9 to 3.5d",HYD_DS_07,HYD_DS_10,Destination projected to breach safety stock within 34.0h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 5.2d). Distance is 6.0km within configured limit.
981,20260629,BEN_DS_02,117,PACK_PAST_27,Packaged Foods,Stock Below Reorder Point,21,Scheduled Replenishment,204,34.0,Protects $0.00 sales exposure; targets 262 units,Regional Distribution Center,BEN_DS_02,Projected inventory (66) breached ROP (70). Target: 262.
982,20260629,MUM_DS_06,248,BABY_BABY_08,Baby Care,Stock Below Reorder Point,21,Scheduled Replenishment,156,34.0,Protects $0.00 sales exposure; targets 207 units,Regional Distribution Center,MUM_DS_06,Projected inventory (51) breached ROP (72). Target: 207.
983,20260629,HYD_DS_10,257,BABY_DIAP_17,Baby Care,Stock Below Reorder Point,21,Scheduled Replenishment,192,34.0,Protects $0.00 sales exposure; targets 252 units,Regional Distribution Center,HYD_DS_10,Projected inventory (63) breached ROP (85). Target: 252.
984,20260629,BEN_DS_10,265,BABY_DIAP_25,Baby Care,Inter-Store Misallocation / Impending Shortage,21,Redistribute Stock,36,34.2,"Avoids $5,878.80 lost sales; lifts DoC from 1.9 to 2.8d",BEN_DS_05,BEN_DS_10,Destination projected to breach safety stock within 34.2h (DoC: 1.9d). Source retains surplus stock above protection threshold (Post-transfer DoC: 3.0d). Distance is 3.8km within configured limit.
